filtrar domingo (7)									
DIA	fecha	clase1	clase2						
6	2021-03-20	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-03-21								
1	2021-03-22	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-03-23	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-03-24	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-03-25	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
5	2021-03-26	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-03-27	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-03-28								
1	2021-03-29	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-03-30	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-03-31	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-04-01	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	TAPAS	
5	2021-04-02	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	TAPAS	
6	2021-04-03	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-04-04								
1	2021-04-05	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-04-06	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-04-07	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-04-08	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
5	2021-04-09	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-04-10	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-04-11								
1	2021-04-12	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-04-13	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-04-14	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-04-15	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
5	2021-04-16	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-04-17	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-04-18								
1	2021-04-19	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-04-20	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-04-21	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-04-22	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
5	2021-04-23	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
6	2021-04-24	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
7	2021-04-25								
1	2021-04-26	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
2	2021-04-27	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
3	2021-04-28	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
4	2021-04-29	ONLINE-MORNING-SELECTION	ONLINE-EVENING-SELECTION	ONLINE-LATENIGHT-SELECTION	ONLINE-MORNING-PAELLA	ONLINE-EVENING-PAELLA	ONLINE-LATENIGHT-PAELLA	PAELLA	TAPAS
